Programming_Skills,Communication_Skills,Technological_Skills,Placed_Status
8,9,8,1
0,9,5,0
9,9,7,1
8,9,9,1
7,9,6,0
7,9,7,1
8,10,9,1
0,7,5,0
5,8,0,0
7,10,5,0
9,10,9,1
8,9,8,1
5,8,6,0
8,8,7,1
8,9,8,1
8,10,7,0
7,9,8,0
0,7,5,0
6,8,6,0
8,9,9,0
6,7,7,0
8,8,6,1
9,10,8,1
8,9,7,1
8,10,8,1
7,10,8,1
8,9,6,1
8,9,9,1
7,9,8,0
7,8,7,0
6,9,6,0
7,10,6,1
0,8,6,0
7,9,8,1
6,8,7,0
7,10,8,1
6,9,7,0
7,9,6,0
8,9,8,1
0,7,6,0
8,9,8,0
8,10,8,1
8,9,9,1
0,7,0,0
7,9,6,0
8,10,8,1
7,9,9,0
9,10,8,1
5,7,6,0
8,10,8,1
8,10,8,1
7,9,8,0
6,9,6,0
7,9,7,1
0,9,6,0
7,9,7,0
5,7,6,0
8,10,8,1
8,9,9,1
7,9,6,0
8,9,8,1
6,9,6,0
7,9,7,0
5,8,0,0
6,8,6,1
5,8,6,0
6,9,8,0
6,9,7,0
8,10,8,1
7,9,7,0
8,9,9,0
8,10,7,1
0,8,5,0
8,9,8,1
8,10,9,0
9,10,8,1
8,10,8,1
6,8,7,0
6,8,7,0
6,8,7,0
6,8,7,0
8,9,8,1
8,9,8,0
5,8,6,1
8,9,8,0
6,8,7,0
6,8,7,0
0,9,0,0
6,9,6,0
6,9,6,1
8,10,9,1
7,9,7,1
8,10,7,1
5,8,5,0
7,10,9,1
5,7,5,0
8,10,8,1
9,10,10,1
6,9,7,0
6,8,7,0
8,9,8,1
6,9,7,0
6,9,6,0
8,9,8,0
7,9,7,0
8,10,8,1
7,9,8,0
7,8,7,0
7,8,7,1
6,10,0,0
8,10,9,1
7,9,8,0
9,10,8,0
9,10,10,1
8,10,10,1
6,8,6,0
6,9,6,0
8,9,6,1
7,9,8,1
8,9,8,1
6,10,7,0
0,8,0,0
7,9,9,0
8,10,9,1
0,8,0,0
8,9,8,1
6,9,8,0
7,9,8,0
7,9,7,1
7,9,7,0
6,8,7,0
8,10,7,1
7,9,6,0
7,10,8,1
0,8,5,0
8,9,7,1
6,9,6,0
6,8,6,0
8,10,8,0
7,9,7,0
8,9,7,1
5,8,5,0
6,9,5,0
6,8,5,0
9,10,8,1
8,10,8,1
7,9,7,0
6,9,6,0
8,9,6,1
7,9,8,0
5,9,6,0
9,10,8,1
6,9,6,0
7,9,6,0
6,8,5,0
9,10,8,1
7,8,6,0
7,9,8,0
0,9,5,0
7,9,7,0
0,8,5,0
6,10,6,1
8,9,8,1
8,9,6,1
0,9,5,0
8,9,7,0
6,8,7,0
6,9,5,0
0,9,5,0
5,9,6,0
6,8,6,0
5,8,6,0
8,10,7,1
7,10,8,1
5,8,5,0
5,9,7,0
7,10,7,0
5,9,5,0
0,8,0,0
5,9,5,0
5,10,6,0
7,10,5,0
5,10,,0
7,10,7,1
8,10,8,1
7,9,6,0
0,9,0,0
5,9,5,0
6,9,6,0
8,10,8,1
7,10,7,1
8,10,8,0
6,10,7,0
5,8,5,0
5,9,6,0
7,10,7,1
8,9,9,1
7,10,9,1
8,10,9,1
7,10,7,0
5,9,6,0
5,9,6,0
7,10,7,1
7,10,7,0
5,9,6,0
7,10,9,0
0,9,0,0
6,10,7,0
6,10,7,0
8,10,9,1
5,10,6,0
5,9,0,0
0,9,0,0
7,10,9,0
8,10,8,1
8,10,8,0
6,10,8,1
8,9,9,0
6,9,6,0
6,9,6,0
6,10,6,0
7,10,8,0
5,9,0,0
5,9,5,0
6,9,6,0
5,9,5,0
0,8,5,0
0,9,5,0
7,10,7,1
5,9,5,0
6,9,6,0
6,9,6,1
0,8,0,0
0,9,5,0
7,10,9,1
5,9,6,0
8,10,7,1
6,10,7,0
7,10,9,0
0,8,5,0
6,9,5,0
8,10,7,1
7,10,8,1
6,9,7,0
7,9,7,0
5,9,5,0
6,10,7,0
6,9,6,0
8,10,9,1
5,8,0,0
7,9,7,1
7,9,7,0
7,9,8,0
7,10,6,1
6,8,6,0
7,10,7,0
6,9,6,0
7,9,7,1
0,8,5,0
6,8,6,0
6,8,7,0
7,9,7,0
7,9,7,0
6,8,5,0
5,8,0,0
0,7,0,0
5,9,6,0
6,9,6,0
6,9,6,0
7,10,7,0
0,8,0,0
0,8,0,0
8,9,8,1
6,9,6,0
6,9,5,0
5,8,6,0
8,10,7,1
5,8,5,0
6,9,6,0
6,8,7,1
6,9,6,1
6,9,6,0
6,9,5,0
5,9,5,0
7,10,7,0
0,8,0,1
5,9,0,0
6,9,7,1
6,9,5,0
8,10,9,1
8,9,8,0
7,10,9,1
5,9,5,0
7,9,6,0
7,9,7,0
5,9,6,1
5,8,0,0
8,10,8,0
7,9,7,1
6,9,7,1
7,9,6,0
5,9,6,0
5,8,5,0
5,8,5,0
6,9,6,0
6,9,7,0
7,10,8,1
6,10,7,1
6,9,5,1
0,8,0,0
6,9,6,0
6,9,5,0
7,9,7,1
6,8,0,0
5,8,0,0
6,9,6,1
7,9,5,0
5,8,6,0
6,9,5,0
7,10,7,1
5,9,5,1
6,10,7,1
7,10,7,0
6,9,6,0
7,9,6,1
7,10,8,0
7,9,7,1
5,8,6,0
7,9,6,1
6,9,7,1
8,10,8,0
6,9,7,0
8,10,7,1
6,9,7,1
0,8,5,0
5,8,5,0
6,8,6,0
7,9,8,0
6,10,6,1
5,8,7,1
6,9,5,0
7,10,8,0
6,8,7,1
6,9,7,0
5,9,6,0
6,9,6,0
6,9,6,1
6,9,7,1
7,10,7,1
5,10,7,0
7,10,7,1
7,9,8,0
7,10,7,1
7,10,8,1
8,10,8,0
0,0,0,0
0,9,5,1
0,8,0,0
6,9,7,0
0,8,5,0
5,9,6,0
6,9,6,0
6,10,7,1
8,10,9,1
6,10,8,1
6,9,8,0
6,9,6,0
6,10,8,0
7,10,7,1
0,9,5,0
5,9,6,0
6,9,7,0
7,9,7,0
0,9,0,0
0,9,0,0
6,9,7,0
7,10,6,1
0,9,6,0
7,10,7,1
6,9,7,1
7,9,7,1
7,10,8,1
6,9,6,0
0,9,6,0
7,10,6,1
6,9,6,0
6,9,8,0
0,9,6,0
7,9,7,0
0,9,5,0
6,9,7,0
6,9,6,0
6,9,5,0
7,9,8,0
6,9,8,0
